,Survived,Pclass,Sex,Age,Siblings,Parch,Fare,Class,Gender,Boat Deck,Embark Town,Alive,Alone
46,0,1,0,40,0,0,0,First,0,B,Southampton,1,True
47,1,1,1,58,0,1,153,First,1,C,Southampton,0,False
48,1,1,1,35,0,0,135,First,1,C,Southampton,0,True
49,0,1,0,37,0,1,29,First,0,C,Cherbourg,1,False
50,1,1,1,63,1,0,77,First,1,D,Southampton,0,False
51,1,1,1,19,1,0,91,First,1,B,Cherbourg,0,False
52,0,2,0,36,0,0,12,Second,0,D,Cherbourg,1,True
53,0,1,1,2,1,2,151,First,2,C,Southampton,1,False
54,1,1,1,50,0,1,247,First,1,B,Cherbourg,0,False
55,1,1,0,0,1,2,151,First,2,C,Southampton,0,False
56,1,1,1,17,1,0,108,First,1,C,Cherbourg,0,False
57,1,1,1,30,0,0,56,First,1,E,Cherbourg,0,True
58,1,1,1,24,0,0,83,First,1,C,Cherbourg,0,True
59,1,1,1,18,2,2,262,First,1,B,Cherbourg,0,False
60,1,1,1,31,0,2,164,First,1,C,Southampton,0,False
61,1,1,1,40,1,1,134,First,1,E,Cherbourg,0,False
62,1,1,1,36,0,0,135,First,1,C,Cherbourg,0,True
63,1,2,1,36,0,0,13,Second,1,D,Southampton,0,True
64,1,1,1,16,0,1,57,First,1,B,Cherbourg,0,False
65,0,1,0,45,0,0,28,First,0,C,Southampton,1,True
66,0,1,0,38,0,1,153,First,0,C,Southampton,1,False
67,0,1,0,29,1,0,66,First,0,C,Southampton,1,False
68,1,1,1,41,0,0,134,First,1,E,Cherbourg,0,True
69,1,2,0,2,1,1,26,Second,2,F,Southampton,0,False
70,1,1,1,24,3,2,263,First,1,C,Southampton,0,False
71,1,2,1,24,0,0,13,Second,1,F,Southampton,0,True
72,1,1,1,22,0,1,55,First,1,E,Southampton,0,False
73,1,1,1,60,1,0,75,First,1,D,Cherbourg,0,False
74,1,1,1,24,0,0,69,First,1,B,Cherbourg,0,True
75,1,1,0,25,1,0,55,First,0,E,Cherbourg,0,False
76,0,1,0,27,0,2,211,First,0,C,Cherbourg,1,False
77,1,1,0,36,1,2,120,First,0,B,Southampton,0,False
78,1,1,1,23,1,0,113,First,1,D,Cherbourg,0,False
79,1,3,1,24,0,2,16,Third,1,G,Southampton,0,False
80,1,1,1,33,1,0,90,First,1,C,Queenstown,0,False
81,1,3,0,32,0,0,8,Third,0,E,Southampton,0,True
82,1,1,0,28,0,0,26,First,0,C,Southampton,0,True
83,0,1,0,50,1,0,55,First,0,E,Southampton,1,False
84,1,1,1,14,1,2,120,First,2,B,Southampton,0,False
85,0,1,0,64,1,4,263,First,0,C,Southampton,1,False
86,1,1,0,4,0,2,81,First,2,A,Southampton,0,False
87,1,1,0,52,0,0,30,First,0,C,Southampton,0,True
88,0,1,0,30,0,0,27,First,0,C,Cherbourg,1,True
89,1,1,0,49,1,0,89,First,0,C,Cherbourg,0,False
90,0,1,0,65,0,0,26,First,0,E,Southampton,1,True
91,1,1,0,48,0,0,26,First,0,E,Southampton,0,True
92,0,1,0,47,0,0,38,First,0,E,Southampton,1,True
93,1,2,1,23,0,0,13,Second,1,D,Cherbourg,0,True
94,1,1,0,25,1,0,91,First,0,B,Cherbourg,0,False
95,1,1,1,35,1,0,90,First,1,C,Southampton,0,False
96,0,1,0,58,0,0,29,First,0,B,Cherbourg,1,True
97,0,1,0,55,0,0,30,First,0,C,Southampton,1,True
98,1,1,1,54,1,0,78,First,1,D,Cherbourg,0,False
99,0,1,1,25,1,2,151,First,1,C,Southampton,1,False
100,1,1,1,16,0,0,86,First,1,B,Southampton,0,True
101,0,1,0,18,1,0,108,First,0,C,Cherbourg,1,False
102,1,1,0,36,0,0,26,First,0,E,Southampton,0,True
103,0,1,0,47,0,0,34,First,0,D,Southampton,1,True
104,1,2,1,34,0,0,10,Second,1,F,Southampton,0,True
105,1,1,1,30,0,0,93,First,1,B,Southampton,0,True
106,1,1,1,44,0,1,57,First,1,B,Cherbourg,0,False
107,0,1,0,45,0,0,26,First,0,B,Southampton,1,True
108,1,1,1,22,0,2,49,First,1,B,Cherbourg,0,False
109,1,1,1,36,0,2,71,First,1,B,Southampton,0,False
110,0,1,0,50,1,0,106,First,0,C,Cherbourg,1,False
111,1,1,0,17,0,2,110,First,0,C,Cherbourg,0,False
112,1,1,1,48,1,0,39,First,1,A,Cherbourg,0,False
113,1,1,1,39,1,1,79,First,1,E,Southampton,0,False
114,1,1,1,53,2,0,51,First,1,C,Southampton,0,False
115,1,1,0,36,0,0,26,First,0,E,Southampton,0,True
116,1,1,1,39,1,0,55,First,1,E,Southampton,0,False
117,1,1,1,39,1,1,110,First,1,C,Cherbourg,0,False
118,0,1,0,36,0,0,40,First,0,A,Cherbourg,1,True
119,1,1,1,18,0,2,79,First,1,E,Southampton,0,False
120,1,1,0,60,1,1,79,First,0,B,Cherbourg,0,False
121,1,1,1,52,1,0,78,First,1,D,Cherbourg,0,False
122,1,1,0,49,1,0,56,First,0,A,Cherbourg,0,False
123,1,1,1,40,0,0,153,First,1,C,Southampton,0,True
124,1,2,1,4,2,1,39,Second,2,F,Southampton,0,False
125,1,1,0,42,1,0,52,First,0,D,Southampton,0,False
126,0,1,0,61,0,0,32,First,0,D,Southampton,1,True
127,1,1,1,21,0,0,77,First,1,D,Southampton,0,True
128,1,1,0,80,0,0,30,First,0,A,Southampton,0,True
129,1,1,0,32,0,0,30,First,0,B,Cherbourg,0,True
130,1,1,1,24,0,0,69,First,1,B,Cherbourg,0,True
131,1,1,0,48,1,0,76,First,0,D,Cherbourg,0,False
132,1,1,0,56,0,0,35,First,0,A,Cherbourg,0,True
133,0,1,0,58,0,2,113,First,0,D,Cherbourg,1,False
134,0,1,0,47,0,0,25,First,0,E,Southampton,1,True
135,0,1,0,31,1,0,52,First,0,B,Southampton,1,False
136,1,1,0,36,0,1,512,First,0,B,Cherbourg,0,False
137,1,1,0,27,0,0,76,First,0,D,Cherbourg,0,True
138,1,1,1,15,0,1,211,First,2,B,Southampton,0,False
139,1,1,0,31,1,0,57,First,0,B,Southampton,0,False
140,0,1,0,49,1,1,110,First,0,C,Cherbourg,1,False
141,0,3,0,42,0,0,7,Third,0,F,Southampton,1,True
142,1,1,1,18,1,0,227,First,1,C,Cherbourg,0,False
143,1,1,0,35,0,0,26,First,0,E,Southampton,0,True
144,1,1,0,42,0,0,26,First,0,E,Southampton,0,True
145,1,1,1,24,0,0,49,First,1,C,Cherbourg,0,True
146,1,1,0,48,1,0,52,First,0,C,Southampton,0,False
147,0,3,0,19,0,0,7,Third,0,F,Southampton,1,True
148,1,1,1,38,0,0,227,First,1,C,Cherbourg,0,True
149,1,2,1,27,0,0,10,Second,1,E,Southampton,0,True
150,1,1,0,27,1,0,53,First,0,E,Southampton,0,False
151,1,1,1,29,0,0,211,First,1,B,Southampton,0,True
152,1,1,0,35,0,0,512,First,0,B,Cherbourg,0,True
153,0,1,0,36,1,0,78,First,0,C,Southampton,1,False
154,1,1,1,21,2,2,262,First,1,B,Cherbourg,0,False
155,0,1,0,70,1,1,71,First,0,B,Southampton,1,False
156,0,1,0,19,1,0,53,First,0,D,Southampton,1,False
157,1,3,0,6,0,1,12,Third,2,E,Southampton,0,False
158,1,1,1,33,0,0,86,First,1,B,Southampton,0,True
159,1,1,1,36,1,2,120,First,1,B,Southampton,0,False
160,1,1,1,51,1,0,77,First,1,D,Southampton,0,False
161,0,2,1,57,0,0,10,Second,1,E,Southampton,1,True
162,1,1,1,43,0,1,211,First,1,B,Southampton,0,False
163,1,1,1,17,1,0,57,First,1,B,Southampton,0,False
164,0,1,0,29,0,0,30,First,0,D,Southampton,1,True
165,0,1,0,46,0,0,79,First,0,B,Cherbourg,1,True
166,1,1,1,49,0,0,25,First,1,D,Southampton,0,True
167,1,1,0,11,1,2,120,First,2,B,Southampton,0,False
168,0,1,0,39,0,0,0,First,0,A,Southampton,1,True
169,1,1,1,33,1,0,53,First,1,E,Southampton,0,False
170,1,1,1,52,1,1,93,First,1,B,Southampton,0,False
171,1,3,1,27,0,1,12,Third,1,E,Southampton,0,False
172,1,1,1,39,1,1,83,First,1,E,Cherbourg,0,False
173,1,1,1,16,0,1,39,First,1,D,Southampton,0,False
174,1,1,0,51,0,0,26,First,0,E,Southampton,0,True
175,1,1,1,48,0,0,25,First,1,D,Southampton,0,True
176,0,1,0,31,0,0,50,First,0,A,Southampton,1,True
177,1,1,1,47,1,1,52,First,1,D,Southampton,0,False
178,0,1,0,33,0,0,5,First,0,B,Southampton,1,True
179,1,1,1,56,0,1,83,First,1,C,Cherbourg,0,False
180,1,1,1,19,0,0,30,First,1,B,Southampton,0,True
181,1,1,0,26,0,0,30,First,0,C,Cherbourg,0,True
