,Survived,Pclass,Sex,Age,Siblings,Parch,Fare,Gender,Alive
169,1,1,1,33,1,0,53,1,0
170,1,1,1,52,1,1,93,1,0
171,1,3,1,27,0,1,12,1,0
172,1,1,1,39,1,1,83,1,0
173,1,1,1,16,0,1,39,1,0
174,1,1,0,51,0,0,26,0,0
175,1,1,1,48,0,0,25,1,0
176,0,1,0,31,0,0,50,0,1
177,1,1,1,47,1,1,52,1,0
178,0,1,0,33,0,0,5,0,1
179,1,1,1,56,0,1,83,1,0
180,1,1,1,19,0,0,30,1,0
181,1,1,0,26,0,0,30,0,0
